Entity,Code,Year,Geo Biomass Other - TWh
Algeria,DZA,2021,0
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0.05624185
Argentina,ARG,1971,0.05899074
Argentina,ARG,1972,0.07602739
Argentina,ARG,1973,0.05997025
Argentina,ARG,1974,0.06100323
Argentina,ARG,1975,0.063990325
Argentina,ARG,1976,0.060962547
Argentina,ARG,1977,0.064003065
Argentina,ARG,1978,0.06397281
Argentina,ARG,1979,0.09498376
Argentina,ARG,1980,0.09901763
Argentina,ARG,1981,0.08701801
Argentina,ARG,1982,0.1149734
Argentina,ARG,1983,0.15497561
Argentina,ARG,1984,0.11498845
Argentina,ARG,1985,0.12000641
Argentina,ARG,1986,0.123990245
Argentina,ARG,1987,0.10598629
Argentina,ARG,1988,0.12296129
Argentina,ARG,1989,0.10600155
Argentina,ARG,1990,0.13302182
Argentina,ARG,1991,0.1310081
Argentina,ARG,1992,0.12998593
Argentina,ARG,1993,0.09599508
Argentina,ARG,1994,0.099004395
Argentina,ARG,1995,0.119016126
Argentina,ARG,1996,0.22302064
Argentina,ARG,1997,0.17875852
Argentina,ARG,1998,0.20689325
Argentina,ARG,1999,0.26199996
Argentina,ARG,2000,0.3860283
Argentina,ARG,2001,0.36299825
Argentina,ARG,2002,0.5299802
Argentina,ARG,2003,0.88059855
Argentina,ARG,2004,0.86751235
Argentina,ARG,2005,0.9164998
Argentina,ARG,2006,1.046309
Argentina,ARG,2007,1.0708514
Argentina,ARG,2008,1.2059801
Argentina,ARG,2009,1.1889358
Argentina,ARG,2010,1.4423598
Argentina,ARG,2011,1.4191314
Argentina,ARG,2012,1.484553
Argentina,ARG,2013,1.6066635
Argentina,ARG,2014,1.482859
Argentina,ARG,2015,1.517351
Argentina,ARG,2016,1.1388094
Argentina,ARG,2017,1.3890371
Argentina,ARG,2018,1.5898329
Argentina,ARG,2019,1.6499021
Argentina,ARG,2020,2.264699
Argentina,ARG,2021,2.1038966
Asia,,1965,0.1
Asia,,1966,0.122
Asia,,1967,0.173
Asia,,1968,0.179
Asia,,1969,0.178
Asia,,1970,0.40870398
Asia,,1971,0.39761102
Asia,,1972,0.42359102
Asia,,1973,0.450998
Asia,,1974,0.514547
Asia,,1975,0.598507
Asia,,1976,0.528553
Asia,,1977,0.752774
Asia,,1978,0.967644
Asia,,1979,1.881672
Asia,,1980,3.27229
Asia,,1981,5.158717
Asia,,1982,13.786909
Asia,,1983,15.969758
Asia,,1984,17.504143
Asia,,1985,18.650616
Asia,,1986,19.50979
Asia,,1987,19.839085
Asia,,1988,21.396158
Asia,,1989,23.113253
Asia,,1990,18.881407
Asia,,1991,19.272646
Asia,,1992,19.529099
Asia,,1993,19.343426
Asia,,1994,22.93912
Asia,,1995,27.571014
Asia,,1996,28.013805
Asia,,1997,31.614063
Asia,,1998,33.696926
Asia,,1999,36.97982
Asia,,2000,40.588943
Asia,,2001,41.515842
Asia,,2002,42.871227
Asia,,2003,44.736835
Asia,,2004,47.316742
Asia,,2005,52.971306
Asia,,2006,56.996235
Asia,,2007,63.23911
Asia,,2008,71.15207
Asia,,2009,80.0869
Asia,,2010,91.83977
Asia,,2011,100.99215
Asia,,2012,109.71559
Asia,,2013,121.81989
Asia,,2014,140.66154
Asia,,2015,163.37277
Asia,,2016,166.46243
Asia,,2017,194.7894
Asia,,2018,232.83195
Asia,,2019,260.6604
Asia,,2020,285.71262
Asia,,2021,336.35724
Asia Pacific (BP),,1965,1.644
Asia Pacific (BP),,1966,1.643
Asia Pacific (BP),,1967,1.424
Asia Pacific (BP),,1968,1.577
Asia Pacific (BP),,1969,1.608
Asia Pacific (BP),,1970,1.776704
Asia Pacific (BP),,1971,1.754611
Asia Pacific (BP),,1972,1.785591
Asia Pacific (BP),,1973,1.834998
Asia Pacific (BP),,1974,2.8156047
Asia Pacific (BP),,1975,2.9736698
Asia Pacific (BP),,1976,2.9064
Asia Pacific (BP),,1977,2.941779
Asia Pacific (BP),,1978,3.2368069
Asia Pacific (BP),,1979,4.032256
Asia Pacific (BP),,1980,5.492769
Asia Pacific (BP),,1981,7.3913007
Asia Pacific (BP),,1982,16.27123
Asia Pacific (BP),,1983,18.387142
Asia Pacific (BP),,1984,20.061474
Asia Pacific (BP),,1985,21.110823
Asia Pacific (BP),,1986,22.009226
Asia Pacific (BP),,1987,22.329086
Asia Pacific (BP),,1988,24.14604
Asia Pacific (BP),,1989,26.438787
Asia Pacific (BP),,1990,22.51375
Asia Pacific (BP),,1991,22.994274
Asia Pacific (BP),,1992,23.15172
Asia Pacific (BP),,1993,23.097511
Asia Pacific (BP),,1994,26.580261
Asia Pacific (BP),,1995,31.112776
Asia Pacific (BP),,1996,31.652657
Asia Pacific (BP),,1997,35.280697
Asia Pacific (BP),,1998,37.759834
Asia Pacific (BP),,1999,41.455635
Asia Pacific (BP),,2000,44.974827
Asia Pacific (BP),,2001,45.5645
Asia Pacific (BP),,2002,47.265427
Asia Pacific (BP),,2003,49.53167
Asia Pacific (BP),,2004,53.351498
Asia Pacific (BP),,2005,60.51645
Asia Pacific (BP),,2006,64.84644
Asia Pacific (BP),,2007,71.50754
Asia Pacific (BP),,2008,79.42048
Asia Pacific (BP),,2009,87.71818
Asia Pacific (BP),,2010,99.808716
Asia Pacific (BP),,2011,109.2485
Asia Pacific (BP),,2012,118.289406
Asia Pacific (BP),,2013,130.23392
Asia Pacific (BP),,2014,148.75612
Asia Pacific (BP),,2015,171.02686
Asia Pacific (BP),,2016,171.41855
Asia Pacific (BP),,2017,197.789
Asia Pacific (BP),,2018,233.80719
Asia Pacific (BP),,2019,259.0397
Asia Pacific (BP),,2020,281.86713
Asia Pacific (BP),,2021,329.44208
Australia,AUS,1965,0.296
Australia,AUS,1966,0.284
Australia,AUS,1967,0.29
Australia,AUS,1968,0.282
Australia,AUS,1969,0.281
Australia,AUS,1970,0.261
Australia,AUS,1971,0.263
Australia,AUS,1972,0.28
Australia,AUS,1973,0.338
Australia,AUS,1974,0.429
Australia,AUS,1975,0.489
Australia,AUS,1976,0.484
Australia,AUS,1977,0.429
Australia,AUS,1978,0.405
Australia,AUS,1979,0.418
Australia,AUS,1980,0.385
Australia,AUS,1981,0.404
Australia,AUS,1982,0.516
Australia,AUS,1983,0.431
Australia,AUS,1984,0.441
Australia,AUS,1985,0.456
Australia,AUS,1986,0.46
Australia,AUS,1987,0.47
Australia,AUS,1988,0.731
Australia,AUS,1989,0.81
Australia,AUS,1990,0.7595
Australia,AUS,1991,0.7195
Australia,AUS,1992,0.67
Australia,AUS,1993,0.67
Australia,AUS,1994,0.6965
Australia,AUS,1995,0.8255
Australia,AUS,1996,0.9465
Australia,AUS,1997,0.997
Australia,AUS,1998,1.081
Australia,AUS,1999,1.1335
Australia,AUS,2000,0.8895
Australia,AUS,2001,0.7975
Australia,AUS,2002,1.2668
Australia,AUS,2003,1.6918
Australia,AUS,2004,2.81525
Australia,AUS,2005,3.871
Australia,AUS,2006,3.9325
Australia,AUS,2007,4.275
Australia,AUS,2008,3.6961
Australia,AUS,2009,2.7868
Australia,AUS,2010,2.44155
Australia,AUS,2011,2.57395
Australia,AUS,2012,3.09785
Australia,AUS,2013,3.33165
Australia,AUS,2014,3.546362
Australia,AUS,2015,3.678062
Australia,AUS,2016,3.627513
Australia,AUS,2017,3.561684
Australia,AUS,2018,3.588149
Australia,AUS,2019,3.4677262
Australia,AUS,2020,3.4104242
Australia,AUS,2021,3.344045
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0.943327
Austria,AUT,1986,1.287501
Austria,AUT,1987,0.905816
Austria,AUT,1988,1.04696
Austria,AUT,1989,1.10445
Austria,AUT,1990,1.142485
Austria,AUT,1991,1.225832
Austria,AUT,1992,1.329164
Austria,AUT,1993,1.361111
Austria,AUT,1994,1.210555
Austria,AUT,1995,1.857221
Austria,AUT,1996,1.589444
Austria,AUT,1997,1.711389
Austria,AUT,1998,1.842777
Austria,AUT,1999,1.5969118
Austria,AUT,2000,1.5282793
Austria,AUT,2001,1.667812
Austria,AUT,2002,1.520444
Austria,AUT,2003,1.711921
Austria,AUT,2004,2.05973
Austria,AUT,2005,2.4401429
Austria,AUT,2006,3.2547655
Austria,AUT,2007,4.0791254
Austria,AUT,2008,4.177986
Austria,AUT,2009,4.2947526
Austria,AUT,2010,4.500126
Austria,AUT,2011,4.572212
Austria,AUT,2012,4.691266
Austria,AUT,2013,4.7102733
Austria,AUT,2014,4.5615125
Austria,AUT,2015,4.66263
Austria,AUT,2016,4.7955213
Austria,AUT,2017,4.933439
Austria,AUT,2018,4.9433427
Austria,AUT,2019,4.6682663
Austria,AUT,2020,4.6011376
Austria,AUT,2021,4.3925185
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.067
Azerbaijan,AZE,2014,0.087
Azerbaijan,AZE,2015,0.0909
Azerbaijan,AZE,2016,0.08725
Azerbaijan,AZE,2017,0.08515
Azerbaijan,AZE,2018,0.0811
Azerbaijan,AZE,2019,0.09795
Azerbaijan,AZE,2020,0.1003
Azerbaijan,AZE,2021,0.0966
Azerbaijan,AZE,1985,
Azerbaijan,AZE,1986,
Azerbaijan,AZE,1987,
Azerbaijan,AZE,1988,
Azerbaijan,AZE,1989,
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0
Bangladesh,BGD,2007,0
Bangladesh,BGD,2008,0
Bangladesh,BGD,2009,0.001
Bangladesh,BGD,2010,0.002
Bangladesh,BGD,2011,0.003
Bangladesh,BGD,2012,0.004
Bangladesh,BGD,2013,0.004993
Bangladesh,BGD,2014,0.006015
Bangladesh,BGD,2015,0.002682
Bangladesh,BGD,2016,0.002852
Bangladesh,BGD,2017,0.002852
Bangladesh,BGD,2018,0.002852
Bangladesh,BGD,2019,0.002852
Bangladesh,BGD,2020,0.003029704
Bangladesh,BGD,2021,0.003021426
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0.002
Belarus,BLR,2007,0.014
Belarus,BLR,2008,0.033
Belarus,BLR,2009,0.06
Belarus,BLR,2010,0.084
Belarus,BLR,2011,0.095
Belarus,BLR,2012,0.095
Belarus,BLR,2013,0.082
Belarus,BLR,2014,0.079
Belarus,BLR,2015,0.094
Belarus,BLR,2016,0.094
Belarus,BLR,2017,0.106
Belarus,BLR,2018,0.109
Belarus,BLR,2019,0.11
Belarus,BLR,2020,0.268
Belarus,BLR,2021,0.26726776
Belarus,BLR,1985,
Belarus,BLR,1986,
Belarus,BLR,1987,
Belarus,BLR,1988,
Belarus,BLR,1989,
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0.116
Belgium,BEL,1974,0.108
Belgium,BEL,1975,0.083
Belgium,BEL,1976,0.057
Belgium,BEL,1977,0.247
Belgium,BEL,1978,0.26
Belgium,BEL,1979,0.315
Belgium,BEL,1980,0.3
Belgium,BEL,1981,0.291
Belgium,BEL,1982,0.046
Belgium,BEL,1983,0.022
Belgium,BEL,1984,0.024
Belgium,BEL,1985,0.053
Belgium,BEL,1986,0.119
Belgium,BEL,1987,0.142
Belgium,BEL,1988,0.18
Belgium,BEL,1989,0.191
Belgium,BEL,1990,0.282
Belgium,BEL,1991,0.299
Belgium,BEL,1992,0.267
Belgium,BEL,1993,0.245
Belgium,BEL,1994,0.245
Belgium,BEL,1995,0.321
Belgium,BEL,1996,0.314
Belgium,BEL,1997,0.275
Belgium,BEL,1998,0.359
Belgium,BEL,1999,0.496
Belgium,BEL,2000,0.568
Belgium,BEL,2001,0.597
Belgium,BEL,2002,0.721
Belgium,BEL,2003,0.857
Belgium,BEL,2004,1.037
Belgium,BEL,2005,1.59
Belgium,BEL,2006,2.225
Belgium,BEL,2007,2.6
Belgium,BEL,2008,3.329
Belgium,BEL,2009,3.949
Belgium,BEL,2010,4.330428
Belgium,BEL,2011,4.699934
Belgium,BEL,2012,5.202093
Belgium,BEL,2013,5.0424
Belgium,BEL,2014,4.4253
Belgium,BEL,2015,5.5117
Belgium,BEL,2016,5.3754
Belgium,BEL,2017,5.7114
Belgium,BEL,2018,5.4186
Belgium,BEL,2019,5.1735
Belgium,BEL,2020,5.2749
Belgium,BEL,2021,4.916279
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0.5146915
Brazil,BRA,1971,0.63339525
Brazil,BRA,1972,0.7165702
Brazil,BRA,1973,0.7508004
Brazil,BRA,1974,0.7851518
Brazil,BRA,1975,0.86717755
Brazil,BRA,1976,0.86433774
Brazil,BRA,1977,1.1168455
Brazil,BRA,1978,1.3319441
Brazil,BRA,1979,1.7760195
Brazil,BRA,1980,1.8055083
Brazil,BRA,1981,1.8736229
Brazil,BRA,1982,2.1784744
Brazil,BRA,1983,2.9844549
Brazil,BRA,1984,2.8516788
Brazil,BRA,1985,3.0671256
Brazil,BRA,1986,3.1939325
Brazil,BRA,1987,3.5656974
Brazil,BRA,1988,3.339784
Brazil,BRA,1989,3.4031622
Brazil,BRA,1990,3.8590624
Brazil,BRA,1991,3.9996126
Brazil,BRA,1992,4.929361
Brazil,BRA,1993,4.9839373
Brazil,BRA,1994,5.3882236
Brazil,BRA,1995,5.5937405
Brazil,BRA,1996,6.75271
Brazil,BRA,1997,7.378951
Brazil,BRA,1998,7.505233
Brazil,BRA,1999,8.376002
Brazil,BRA,2000,7.855363
Brazil,BRA,2001,8.990407
Brazil,BRA,2002,10.226147
Brazil,BRA,2003,11.894463
Brazil,BRA,2004,12.475056
Brazil,BRA,2005,13.5909395
Brazil,BRA,2006,14.845659
Brazil,BRA,2007,18.063444
Brazil,BRA,2008,19.786257
Brazil,BRA,2009,22.875872
Brazil,BRA,2010,31.942375
Brazil,BRA,2011,32.62904
Brazil,BRA,2012,35.76567
Brazil,BRA,2013,40.971848
Brazil,BRA,2014,47.07918
Brazil,BRA,2015,49.88032
Brazil,BRA,2016,51.334698
Brazil,BRA,2017,52.912106
Brazil,BRA,2018,54.382233
Brazil,BRA,2019,54.920876
Brazil,BRA,2020,58.741848
Brazil,BRA,2021,54.959217
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0.016
Bulgaria,BGR,2009,0.008
Bulgaria,BGR,2010,0.035
Bulgaria,BGR,2011,0.056
Bulgaria,BGR,2012,0.066
Bulgaria,BGR,2013,0.111713
Bulgaria,BGR,2014,0.200792
Bulgaria,BGR,2015,0.270185
Bulgaria,BGR,2016,0.353614
Bulgaria,BGR,2017,0.395981
Bulgaria,BGR,2018,1.572966
Bulgaria,BGR,2019,1.820811
Bulgaria,BGR,2020,1.699341
Bulgaria,BGR,2021,1.694698
CIS (BP),,1965,0
CIS (BP),,1990,0.065
CIS (BP),,1991,0.065
CIS (BP),,1992,0.063
CIS (BP),,1993,0.06
CIS (BP),,1994,0.061
CIS (BP),,1995,0.059
CIS (BP),,1996,0.057
CIS (BP),,1997,0.057
CIS (BP),,1998,0.058
CIS (BP),,1999,0.058
CIS (BP),,2000,0.0791
CIS (BP),,2001,0.1141
CIS (BP),,2002,0.1733
CIS (BP),,2003,0.3658
CIS (BP),,2004,0.4498
CIS (BP),,2005,0.4513
CIS (BP),,2006,0.5077
CIS (BP),,2007,0.4985
CIS (BP),,2008,0.5219
CIS (BP),,2009,0.5574
CIS (BP),,2010,0.620914
CIS (BP),,2011,0.652208
CIS (BP),,2012,0.597849
CIS (BP),,2013,0.634027
CIS (BP),,2014,0.7334
CIS (BP),,2015,0.681576
CIS (BP),,2016,0.64301
CIS (BP),,2017,0.7354732
CIS (BP),,2018,0.7268354
CIS (BP),,2019,0.7650691
CIS (BP),,2020,0.9161088
CIS (BP),,2021,0.91387737
CIS (BP),,1966,
CIS (BP),,1967,
CIS (BP),,1968,
CIS (BP),,1969,
CIS (BP),,1970,
CIS (BP),,1971,
CIS (BP),,1972,
CIS (BP),,1973,
CIS (BP),,1974,
CIS (BP),,1975,
CIS (BP),,1976,
CIS (BP),,1977,
CIS (BP),,1978,
CIS (BP),,1979,
CIS (BP),,1980,
CIS (BP),,1981,
CIS (BP),,1982,
CIS (BP),,1983,
CIS (BP),,1984,
CIS (BP),,1985,
CIS (BP),,1986,
CIS (BP),,1987,
CIS (BP),,1988,
CIS (BP),,1989,
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0.707
Canada,CAN,1977,1.069
Canada,CAN,1978,1.132
Canada,CAN,1979,1.345
Canada,CAN,1980,1.3
Canada,CAN,1981,1.898
Canada,CAN,1982,2.139
Canada,CAN,1983,2.085
Canada,CAN,1984,2.337
Canada,CAN,1985,1.677
Canada,CAN,1986,1.865
Canada,CAN,1987,2.312
Canada,CAN,1988,2.485
Canada,CAN,1989,3.477
Canada,CAN,1990,3.954
Canada,CAN,1991,3.984
Canada,CAN,1992,4.465
Canada,CAN,1993,4.817
Canada,CAN,1994,5.733
Canada,CAN,1995,7.137866
Canada,CAN,1996,7.528515
Canada,CAN,1997,8.16822
Canada,CAN,1998,8.987254
Canada,CAN,1999,8.943149
Canada,CAN,2000,8.917043
Canada,CAN,2001,9.67215
Canada,CAN,2002,10.046104
Canada,CAN,2003,9.4172945
Canada,CAN,2004,9.804526
Canada,CAN,2005,9.155414
Canada,CAN,2006,8.938046
Canada,CAN,2007,8.991077
Canada,CAN,2008,7.978966
Canada,CAN,2009,8.942057
Canada,CAN,2010,10.297558
Canada,CAN,2011,10.213784
Canada,CAN,2012,10.913819
Canada,CAN,2013,11.03561
Canada,CAN,2014,9.795245
Canada,CAN,2015,9.987179
Canada,CAN,2016,11.359523
Canada,CAN,2017,10.850481
Canada,CAN,2018,10.541605
Canada,CAN,2019,10.307284
Canada,CAN,2020,9.385263
Canada,CAN,2021,9.695907
Central America (BP),,1971,0.107
Central America (BP),,1972,0.141
Central America (BP),,1973,0.117
Central America (BP),,1974,0.156
Central America (BP),,1975,0.338
Central America (BP),,1976,0.724
Central America (BP),,1977,0.699
Central America (BP),,1978,0.752
Central America (BP),,1979,0.642
Central America (BP),,1980,0.68210524
Central America (BP),,1981,1.1091052
Central America (BP),,1982,1.1981052
Central America (BP),,1983,1.0261053
Central America (BP),,1984,1.2371053
Central America (BP),,1985,0.93699
Central America (BP),,1986,0.86075
Central America (BP),,1987,0.910516
Central America (BP),,1988,0.883962
Central America (BP),,1989,1.171867
Central America (BP),,1990,1.2207556
Central America (BP),,1991,1.3350639
Central America (BP),,1992,1.8216531
Central America (BP),,1993,1.72201
